amt,gender,city_pop,is_fraud,age,trans_month,trans_year,latitudinal_distance,longitudinal_distance,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
21.31,1,7163,0,1194480000000000000,12,2019,0.24,0.689,False,False,False,False,False,False,True,False,False,False,False,False,False
59.93,1,13835,0,1641427200000000000,6,2019,0.065,0.531,False,True,False,False,False,False,False,False,False,False,False,False,False
67.47,0,1178,0,2164406400000000000,1,2020,0.175,0.655,False,False,False,False,False,False,False,False,False,True,False,False,False
3.52,1,5196,0,1296691200000000000,2,2019,0.992,0.768,False,False,False,False,False,False,False,False,False,False,False,True,False
561.47,1,1446,0,1303948800000000000,5,2019,0.058,0.103,False,False,False,False,False,False,False,False,False,False,False,False,True
5.88,0,493,0,2479766400000000000,4,2019,0.967,0.122,False,False,False,False,False,False,False,False,True,False,False,False,False
190.69,1,1087,0,1765843200000000000,6,2019,0.528,0.744,False,False,False,False,False,False,False,True,False,False,False,False,False
19.64,1,3224,0,682905600000000000,4,2019,0.32,0.878,False,False,False,False,False,True,False,False,False,False,False,False,False
27.01,0,4512,0,831772800000000000,2,2019,0.504,0.333,False,False,False,False,False,True,False,False,False,False,False,False,False
23.76,0,722,0,910224000000000000,8,2019,0.941,0.186,False,False,False,False,False,True,False,False,False,False,False,False,False
6.63,0,1563,0,1324598400000000000,2,2020,0.816,0.147,False,False,False,False,False,False,False,False,False,False,False,True,False
177.46,0,526,0,2499724800000000000,11,2019,0.198,0.348,False,False,False,False,False,False,False,False,True,False,False,False,False
37.17,1,914,0,2377728000000000000,11,2019,0.189,0.461,False,False,False,False,False,False,False,False,True,False,False,False,False
3.4,0,1423,0,657763200000000000,8,2019,0.279,0.276,True,False,False,False,False,False,False,False,False,False,False,False,False
63.72,0,17047,0,2665872000000000000,7,2019,0.803,0.209,False,False,False,False,False,True,False,False,False,False,False,False,False
79.26,0,70,0,1997654400000000000,10,2019,0.312,0.336,False,True,False,False,False,False,False,False,False,False,False,False,False
13.86,0,771,0,1498089600000000000,12,2019,0.88,0.17,True,False,False,False,False,False,False,False,False,False,False,False,False
106.68,0,1679,0,1034985600000000000,2,2019,0.433,0.835,False,False,False,True,False,False,False,False,False,False,False,False,False
1.09,0,156391,0,1613347200000000000,3,2019,0.785,0.985,False,False,False,False,False,False,False,False,True,False,False,False,False
6.52,0,4049,0,1880323200000000000,5,2019,0.376,0.257,False,False,False,False,False,False,False,False,False,False,False,False,True
110.53,1,673342,0,1572048000000000000,9,2019,0.915,0.691,False,False,False,False,False,False,True,False,False,False,False,False,False
10.39,1,564,0,719971200000000000,2,2019,0.215,0.449,False,False,False,False,False,False,False,False,False,True,False,False,False
42.29,1,11250,0,1330041600000000000,10,2019,0.412,0.49,False,False,False,True,False,False,False,False,False,False,False,False,False
231.91,0,5875,0,834796800000000000,1,2019,0.007,0.456,False,False,False,False,False,False,False,False,False,False,True,False,False
2.73,0,165,0,2343168000000000000,12,2019,0.904,0.74,True,False,False,False,False,False,False,False,False,False,False,False,False
75.58,1,140,0,952128000000000000,12,2019,0.883,0.893,False,False,False,False,True,False,False,False,False,False,False,False,False
19.02,1,6284,0,2644704000000000000,1,2020,0.145,0.263,False,False,False,False,False,False,True,False,False,False,False,False,False
6.03,1,5507,0,1449100800000000000,6,2019,0.721,0.768,False,False,False,False,False,False,False,False,False,True,False,False,False
60.27,1,14783,0,2013811200000000000,8,2019,0.38,0.182,True,False,False,False,False,False,False,False,False,False,False,False,False
14.66,1,1758,0,1975104000000000000,3,2020,0.173,0.043,False,False,False,False,False,True,False,False,False,False,False,False,False
64.58,0,2401,0,1495497600000000000,5,2019,0.904,0.366,False,False,True,False,False,False,False,False,False,False,False,False,False
73.26,0,46,0,1037232000000000000,3,2020,0.789,0.724,False,True,False,False,False,False,False,False,False,False,False,False,False
6.31,1,4306,0,951091200000000000,12,2019,0.682,0.603,False,False,False,False,False,False,False,False,False,False,False,False,True
1.41,1,470,0,1713657600000000000,7,2019,0.141,0.418,False,False,False,False,False,False,False,False,True,False,False,False,False
2.33,1,23727,0,1169683200000000000,3,2019,0.597,0.221,False,False,False,False,False,False,False,False,False,False,False,False,False
51.85,1,895,0,618624000000000000,1,2019,0.733,0.036,False,True,False,False,False,False,False,False,False,False,False,False,False
47.8,1,970,0,801273600000000000,2,2019,0.355,0.516,False,False,True,False,False,False,False,False,False,False,False,False,False
56.52,1,4081,0,2582496000000000000,1,2020,0.896,0.188,False,False,False,False,False,False,True,False,False,False,False,False,False
657.97,1,276002,0,1275955200000000000,6,2019,0.962,0.059,False,False,False,False,False,False,False,False,False,False,False,True,False
3.4,0,1533,0,2647987200000000000,3,2019,0.318,0.851,False,False,False,False,False,False,False,False,False,False,False,False,True
4.9,0,106,0,1146787200000000000,11,2019,0.057,0.271,False,False,False,False,False,False,False,False,False,False,False,True,False
36.16,0,35371,0,986688000000000000,12,2019,0.501,0.378,False,False,False,False,False,False,False,False,False,False,False,False,False
405.2,1,1656,0,1581465600000000000,9,2019,0.178,0.728,False,False,False,False,False,False,False,False,False,False,True,False,False
12.81,0,27971,0,1096070400000000000,4,2019,0.495,0.593,False,False,False,False,False,False,False,False,True,False,False,False,False
58.38,1,2258,0,2588889600000000000,3,2019,0.059,0.934,False,False,False,False,True,False,False,False,False,False,False,False,False
55.41,1,1892,0,2020291200000000000,3,2020,0.824,0.186,False,True,False,False,False,False,False,False,False,False,False,False,False
31.19,0,10295,0,690768000000000000,11,2019,0.885,0.703,False,False,False,True,False,False,False,False,False,False,False,False,False
22.19,0,5903,0,802310400000000000,3,2019,0.368,0.856,False,False,False,False,False,False,False,False,False,False,True,False,False
12.12,0,248,0,1627344000000000000,12,2019,0.926,0.982,False,False,False,False,True,False,False,False,False,False,False,False,False
2.51,0,5895,0,1378857600000000000,3,2019,0.006,0.8,False,False,False,False,False,False,True,False,False,False,False,False,False
169.94,0,1423,0,669945600000000000,12,2019,0.95,0.796,False,False,False,False,False,False,False,False,True,False,False,False,False
68.78,0,2036,0,1510185600000000000,6,2019,0.326,0.717,False,True,False,False,False,False,False,False,False,False,False,False,False
8.89,0,9594,0,671414400000000000,3,2019,0.4,0.849,False,False,False,False,False,False,False,False,False,False,True,False,False
262.55,0,2566,0,1946937600000000000,3,2020,0.293,0.568,False,False,False,False,False,False,False,True,False,False,False,False,False
1.4,0,597,0,1855872000000000000,3,2020,0.799,0.166,False,False,False,False,False,False,False,False,False,False,True,False,False
3.26,1,79008,0,1100822400000000000,7,2019,0.467,0.287,False,False,False,False,False,False,False,False,False,False,True,False,False
10.32,1,1892,0,2010873600000000000,11,2019,0.409,0.742,False,False,False,False,False,False,False,False,False,True,False,False,False
99.17,1,20478,0,688003200000000000,3,2019,0.446,0.676,False,False,False,False,True,False,False,False,False,False,False,False,False
10.75,0,346,0,1357776000000000000,12,2019,0.235,0.845,False,False,False,False,False,False,False,False,True,False,False,False,False
82.22,1,229,0,1159488000000000000,12,2019,0.638,0.484,False,False,False,False,False,False,False,False,False,False,False,False,False
38.88,0,863,0,1487635200000000000,9,2019,0.135,0.985,False,False,False,False,False,True,False,False,False,False,False,False,False
9.88,0,191096,0,1756080000000000000,11,2019,0.398,0.007,False,False,False,False,False,False,False,False,True,False,False,False,False
163.95,0,427,0,2157235200000000000,6,2019,0.21,0.247,True,False,False,False,False,False,False,False,False,False,False,False,False
88.81,0,105638,0,1044057600000000000,6,2019,0.656,0.153,False,False,False,False,False,False,True,False,False,False,False,False,False
21.14,0,7155,0,1337040000000000000,8,2019,0.105,0.326,False,False,False,False,False,False,True,False,False,False,False,False,False
90.9,0,3104,0,1191715200000000000,1,2019,0.778,0.104,False,False,True,False,False,False,False,False,False,False,False,False,False
133.24,1,972,0,682473600000000000,6,2019,0.272,0.56,False,False,False,False,False,False,False,False,True,False,False,False,False
22.45,0,50835,0,1055462400000000000,7,2019,0.516,0.497,False,False,False,False,True,False,False,False,False,False,False,False,False
11.91,1,7268,0,983059200000000000,9,2019,0.468,0.546,True,False,False,False,False,False,False,False,False,False,False,False,False
204.86,0,186140,0,1155686400000000000,9,2019,0.914,0.104,False,False,False,True,False,False,False,False,False,False,False,False,False
10.4,1,267,0,468720000000000000,12,2019,0.617,0.438,False,False,True,False,False,False,False,False,False,False,False,False,False
79.4,1,198,0,1915574400000000000,12,2019,0.991,0.907,False,True,False,False,False,False,False,False,False,False,False,False,False
143.15,0,863,0,1485129600000000000,9,2019,0.868,0.45,False,False,False,True,False,False,False,False,False,False,False,False,False
79.03,0,54185,0,853804800000000000,12,2019,0.953,0.96,False,True,False,False,False,False,False,False,False,False,False,False,False
52.19,0,4895,0,1912896000000000000,6,2019,0.07,0.832,True,False,False,False,False,False,False,False,False,False,False,False,False
116.28,1,25459,0,1588377600000000000,6,2019,0.594,0.434,False,False,False,False,False,True,False,False,False,False,False,False,False
12.98,1,128,0,2325542400000000000,12,2019,0.447,0.023,False,False,False,False,False,False,True,False,False,False,False,False,False
146.12,1,841711,0,1765065600000000000,3,2019,0.159,0.992,False,False,False,False,False,False,True,False,False,False,False,False,False
52.83,0,269,0,1707436800000000000,10,2019,0.288,0.822,True,False,False,False,False,False,False,False,False,False,False,False,False
55.72,0,1745,0,1440633600000000000,8,2019,0.737,0.095,False,False,False,False,False,False,False,False,False,False,False,False,False
42.37,1,653,0,1672876800000000000,6,2019,0.153,0.094,False,False,False,False,False,True,False,False,False,False,False,False,False
95.62,1,2304,0,2002579200000000000,1,2019,0.423,0.155,False,False,False,False,False,False,False,False,False,True,False,False,False
4.82,1,276002,0,1296518400000000000,2,2020,0.098,0.039,True,False,False,False,False,False,False,False,False,False,False,False,False
7.8,0,2148,0,2093904000000000000,9,2019,0.238,0.291,False,False,False,False,False,False,False,False,False,False,True,False,False
101.65,0,4512,0,857001600000000000,11,2019,0.589,0.89,False,False,False,False,False,False,True,False,False,False,False,False,False
30.73,0,307,0,2824675200000000000,2,2020,0.848,0.497,False,False,False,False,True,False,False,False,False,False,False,False,False
7.13,1,28739,0,606873600000000000,3,2019,0.552,0.953,False,False,False,False,False,False,False,False,False,False,False,False,False
15.67,0,2307,0,1578182400000000000,9,2019,0.476,0.491,True,False,False,False,False,False,False,False,False,False,False,False,False
58.27,1,2317,0,1717027200000000000,1,2019,0.255,0.669,False,False,False,False,False,False,True,False,False,False,False,False,False
2.24,0,165556,0,681782400000000000,8,2019,0.616,0.336,False,False,False,False,False,False,False,False,False,False,True,False,False
