amt,gender,city_pop,age,trans_month,trans_year,latitudinal_distance,longitudinal_distance,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
30.56,1,1442,1179792000000000000,10,2019,0.177,0.396,False,False,False,False,False,False,False,False,True,False,False,False,False
920.9,1,632,957744000000000000,8,2019,0.921,0.23,False,False,False,False,False,False,False,False,False,False,True,False,False
347.3,0,460,488505600000000000,12,2019,0.786,0.5,False,False,False,True,False,False,False,False,False,False,False,False,False
6.39,0,1439,614908800000000000,3,2019,0.603,0.171,False,False,False,False,False,False,False,False,True,False,False,False,False
49.76,0,91,1788480000000000000,7,2019,0.841,0.488,False,False,False,False,False,False,False,False,True,False,False,False,False
29.53,1,564,753321600000000000,2,2020,0.521,0.509,False,False,False,False,True,False,False,False,False,False,False,False,False
15.13,1,589,2320444800000000000,7,2019,0.755,0.968,False,False,True,False,False,False,False,False,False,False,False,False,False
9.33,0,46,1001635200000000000,1,2019,0.231,0.625,False,False,False,False,False,False,False,False,False,False,False,False,True
145.83,1,928,1086739200000000000,10,2019,0.885,0.821,False,False,False,False,False,False,False,False,False,False,False,True,False
90.7,1,1165,2364768000000000000,10,2019,0.6,0.114,False,False,False,False,False,False,True,False,False,False,False,False,False
329.8,0,92985,1623974400000000000,11,2019,0.649,0.719,False,False,False,True,False,False,False,False,False,False,False,False,False
20.37,0,1631,2110320000000000000,12,2019,0.435,0.748,False,False,False,False,True,False,False,False,False,False,False,False,False
766.98,0,391389,786067200000000000,3,2019,0.834,0.682,False,False,False,False,False,False,False,False,False,False,False,True,False
895.19,1,67858,767750400000000000,7,2019,0.755,0.376,False,False,False,False,False,False,False,False,False,False,True,False,False
61.86,0,59744,1104624000000000000,2,2019,0.618,0.54,False,False,False,False,False,False,False,False,False,False,False,True,False
50.43,0,260,2002406400000000000,2,2020,0.784,0.191,False,False,False,False,False,False,False,False,False,True,False,False,False
124.68,1,1970,2213308800000000000,7,2019,0.172,0.108,False,False,False,False,False,True,False,False,False,False,False,False,False
105.45,1,2395,801446400000000000,4,2019,0.714,0.842,False,False,False,True,False,False,False,False,False,False,False,False,False
314.33,0,248,1614124800000000000,7,2019,0.558,0.399,False,False,False,True,False,False,False,False,False,False,False,False,False
10.38,1,1841,1408924800000000000,1,2020,0.947,0.759,False,True,False,False,False,False,False,False,False,False,False,False,False
317.61,0,15647,1962230400000000000,3,2020,0.875,0.06,False,False,False,True,False,False,False,False,False,False,False,False,False
1030.92,1,15269,828748800000000000,10,2019,0.31,0.263,False,False,False,False,False,False,False,False,False,False,True,False,False
75.04,0,2691,816220800000000000,6,2019,0.305,0.387,False,True,False,False,False,False,False,False,False,False,False,False,False
35.93,0,2435,1644537600000000000,5,2019,0.118,0.553,False,False,False,False,False,False,False,False,False,False,False,True,False
93.91,0,1847,972864000000000000,8,2019,0.207,0.867,False,True,False,False,False,False,False,False,False,False,False,False,False
302.59,0,1725,1638662400000000000,4,2019,0.232,0.781,False,False,False,True,False,False,False,False,False,False,False,False,False
4.26,0,2078,1782518400000000000,12,2019,0.496,0.984,False,False,False,False,False,False,False,False,False,False,True,False,False
19.06,0,260,2002492800000000000,2,2020,0.133,0.68,False,True,False,False,False,False,False,False,False,False,False,False,False
1036.63,0,863,1488844800000000000,10,2019,0.625,0.743,False,False,False,False,False,False,False,False,True,False,False,False,False
74.87,1,1453,1446768000000000000,12,2019,0.084,0.848,False,False,False,False,True,False,False,False,False,False,False,False,False
1088.26,1,1762,1824681600000000000,2,2020,0.054,0.732,False,False,False,False,False,False,False,False,False,False,True,False,False
320.59,0,344,1635120000000000000,1,2019,0.903,0.388,False,False,False,True,False,False,False,False,False,False,False,False,False
5.01,0,3104,1222387200000000000,12,2019,0.985,0.644,False,False,False,False,False,False,False,False,False,False,True,False,False
19.24,0,100,1426896000000000000,7,2019,0.679,0.68,False,False,False,False,False,False,False,False,False,True,False,False,False
471.04,0,8830,901411200000000000,10,2019,0.779,0.35,False,False,False,False,False,False,False,False,False,False,False,False,False
28.34,1,2290,2343168000000000000,3,2020,0.211,0.432,True,False,False,False,False,False,False,False,False,False,False,False,False
765.47,0,878,1396915200000000000,2,2019,0.356,0.175,False,False,False,False,False,False,False,True,False,False,False,False,False
335.13,0,2158,1850169600000000000,2,2020,0.425,0.553,False,False,False,True,False,False,False,False,False,False,False,False,False
84.44,1,238602,829699200000000000,8,2019,0.91,0.803,False,False,False,False,False,True,False,False,False,False,False,False,False
334.72,0,5778,2096668800000000000,5,2019,0.571,0.257,False,False,False,True,False,False,False,False,False,False,False,False,False
312.62,0,1888,634867200000000000,12,2019,0.217,0.756,False,False,False,True,False,False,False,False,False,False,False,False,False
5.75,0,1363,2480284800000000000,3,2019,0.22,0.658,True,False,False,False,False,False,False,False,False,False,False,False,False
870.91,1,478404,2472422400000000000,3,2019,0.656,0.976,False,False,False,False,False,False,False,False,False,False,True,False,False
327.34,1,626,1858291200000000000,11,2019,0.43,0.587,False,False,False,True,False,False,False,False,False,False,False,False,False
918.69,0,976,617241600000000000,1,2019,0.946,0.042,False,False,False,False,False,False,False,False,False,False,True,False,False
290.9,0,4993,2235168000000000000,9,2019,0.877,0.138,False,False,False,True,False,False,False,False,False,False,False,False,False
900.4,1,381459,1456790400000000000,3,2020,0.974,0.477,False,False,False,False,False,False,False,False,False,False,False,True,False
872.79,0,1478,1702166400000000000,4,2019,0.348,0.801,False,False,False,False,False,False,False,False,False,False,True,False,False
77.49,1,2097,1000166400000000000,7,2019,0.043,0.865,False,False,False,False,True,False,False,False,False,False,False,False,False
146.44,1,564,736905600000000000,8,2019,0.66,0.373,False,False,False,False,False,False,False,False,False,False,True,False,False
162.79,0,1312922,1204243200000000000,12,2019,0.576,0.231,False,False,False,False,False,False,False,False,True,False,False,False,False
328.57,1,4729,1159401600000000000,1,2019,0.834,0.754,False,False,False,True,False,False,False,False,False,False,False,False,False
1230.42,0,91,1788480000000000000,7,2019,0.358,0.072,False,False,False,False,False,False,False,False,False,False,True,False,False
20.19,1,349,1291852800000000000,12,2019,0.414,0.729,False,False,False,False,False,False,False,False,False,True,False,False,False
1085.73,0,4431,2950387200000000000,2,2019,0.324,0.02,False,False,False,False,False,False,False,False,False,False,True,False,False
37.24,1,470,1721865600000000000,10,2019,0.833,0.225,False,False,False,False,False,True,False,False,False,False,False,False,False
144.72,0,2408,703296000000000000,10,2019,0.733,0.539,False,False,False,False,False,False,False,False,False,False,False,True,False
8.27,1,9772,930182400000000000,5,2019,0.933,0.598,False,True,False,False,False,False,False,False,False,False,False,False,False
1089.43,1,272,555638400000000000,2,2019,0.389,0.949,False,False,False,False,False,False,False,False,False,False,True,False,False
88.67,0,5875,858902400000000000,10,2019,0.845,0.666,False,False,False,False,False,False,False,False,False,False,False,True,False
66.53,0,4074,1391731200000000000,1,2020,0.544,0.739,False,False,False,False,False,False,False,False,False,True,False,False,False
4.83,1,207410,1096934400000000000,4,2019,0.524,0.909,False,False,False,False,False,False,False,False,False,False,False,True,False
113.7,1,365,1545091200000000000,2,2019,0.648,0.648,True,False,False,False,False,False,False,False,False,False,False,False,False
555.23,1,1446,1319500800000000000,11,2019,0.632,0.372,False,False,False,False,False,False,False,False,False,False,False,False,True
459.3,1,95,813024000000000000,11,2019,0.97,0.572,False,False,False,False,False,False,False,False,False,False,False,False,True
54.8,1,177,1434758400000000000,11,2019,0.085,0.498,False,False,False,False,False,False,True,False,False,False,False,False,False
1058.76,0,4870,1978905600000000000,12,2019,0.856,0.273,False,False,False,False,False,False,False,False,False,False,False,True,False
35.79,1,276002,1289520000000000000,11,2019,0.41,0.271,False,False,False,False,True,False,False,False,False,False,False,False,False
330.82,1,9506,2097878400000000000,10,2019,0.695,0.728,False,False,False,True,False,False,False,False,False,False,False,False,False
71.52,1,198,1298246400000000000,12,2019,0.531,0.455,False,False,False,False,False,False,False,False,False,True,False,False,False
809.88,0,136,2109715200000000000,1,2020,0.246,0.228,False,False,False,False,False,False,False,True,False,False,False,False,False
837.11,0,10295,670896000000000000,3,2019,0.294,0.413,False,False,False,False,False,False,False,True,False,False,False,False,False
8.01,0,12568,1954368000000000000,2,2020,0.254,0.679,False,False,False,False,False,False,False,False,True,False,False,False,False
31.35,1,7268,969753600000000000,4,2019,0.273,0.522,False,False,False,False,False,False,False,False,False,False,False,False,False
19.89,0,863,1483315200000000000,8,2019,0.575,0.018,False,False,False,False,True,False,False,False,False,False,False,False,False
667.88,1,291,897609600000000000,10,2019,0.621,0.051,False,False,False,False,False,False,False,False,False,False,False,True,False
22.42,0,3862,1777420800000000000,4,2019,0.619,0.074,False,False,False,False,False,True,False,False,False,False,False,False,False
182.19,1,895,654220800000000000,2,2020,0.954,0.75,False,False,False,False,False,False,False,False,True,False,False,False,False
1020.2,1,4354,803433600000000000,8,2019,0.232,0.216,False,False,False,False,False,False,False,False,False,False,True,False,False
8.15,1,776,2185401600000000000,2,2019,0.116,0.127,False,False,False,False,False,False,False,False,False,False,False,True,False
3.77,1,214703,766195200000000000,1,2019,0.454,0.546,False,False,False,False,False,True,False,False,False,False,False,False,False
10.41,0,271,1481068800000000000,3,2019,0.038,0.592,False,True,False,False,False,False,False,False,False,False,False,False,False
471.28,0,34496,1542931200000000000,9,2019,0.918,0.34,False,False,False,False,False,False,False,False,False,False,False,False,False
7.8,1,376,2541801600000000000,3,2019,0.5,0.326,False,False,False,False,False,False,False,True,False,False,False,False,False
3.79,0,3684,1176508800000000000,3,2019,0.652,0.664,False,False,False,False,False,False,False,False,False,False,True,False,False
815.48,1,134056,1223078400000000000,2,2019,0.879,0.185,False,False,False,False,False,False,False,False,False,False,False,True,False
17.4,0,17047,2665785600000000000,7,2019,0.812,0.38,False,False,False,False,False,False,False,False,False,True,False,False,False
50.35,1,744,1634688000000000000,11,2019,0.413,0.577,False,False,False,False,False,False,False,False,True,False,False,False,False
733.45,0,3164,1848096000000000000,8,2019,0.858,0.927,False,False,False,False,False,False,False,True,False,False,False,False,False
754.98,1,163415,1385683200000000000,5,2019,0.006,0.667,False,False,False,False,False,False,False,True,False,False,False,False,False
162.3,1,192,1758153600000000000,9,2019,0.41,0.275,False,False,True,False,False,False,False,False,False,False,False,False,False
78.19,1,9815,1384214400000000000,5,2019,0.622,0.565,False,True,False,False,False,False,False,False,False,False,False,False,False
301.68,0,67082,1556150400000000000,5,2019,0.863,0.555,False,False,False,True,False,False,False,False,False,False,False,False,False
69.87,1,69793,2085264000000000000,1,2020,0.31,0.267,False,True,False,False,False,False,False,False,False,False,False,False,False
63.48,1,16163,1041552000000000000,2,2020,0.825,0.047,False,False,True,False,False,False,False,False,False,False,False,False,False
208.14,0,46563,1561248000000000000,3,2020,0.823,0.519,False,False,False,True,False,False,False,False,False,False,False,False,False
19.51,0,1643,1349049600000000000,1,2019,0.165,0.562,False,False,False,False,True,False,False,False,False,False,False,False,False
188.86,0,1263321,1409529600000000000,12,2019,0.667,0.597,False,False,False,True,False,False,False,False,False,False,False,False,False
169.06,0,1423,663897600000000000,10,2019,0.869,0.24,False,False,False,False,False,False,False,False,False,False,False,True,False
1.2,1,4354,807840000000000000,9,2019,0.111,0.691,True,False,False,False,False,False,False,False,False,False,False,False,False
32.74,0,34882,1540166400000000000,2,2020,0.98,0.522,False,False,False,False,False,False,False,True,False,False,False,False,False
1286.27,0,254,2106604800000000000,2,2019,0.87,0.108,False,False,False,False,False,False,False,False,False,False,True,False,False
6.66,1,1517,2140646400000000000,9,2019,0.028,0.576,False,False,False,False,False,False,True,False,False,False,False,False,False
889.2,0,736284,1818892800000000000,5,2019,0.25,0.235,False,False,False,False,False,False,False,True,False,False,False,False,False
51.53,1,370,1810512000000000000,6,2019,0.405,0.57,False,False,False,False,False,False,False,False,False,False,False,False,False
1179.79,1,4778,2043878400000000000,3,2019,0.608,0.1,False,False,False,False,False,False,False,False,False,False,True,False,False
31.35,0,724,743904000000000000,3,2019,0.859,0.423,False,False,True,False,False,False,False,False,False,False,False,False,False
62.48,1,276896,725241600000000000,3,2020,0.976,0.442,False,True,False,False,False,False,False,False,False,False,False,False,False
44.91,0,4074,1359676800000000000,1,2019,0.296,0.93,False,False,False,False,False,False,False,False,False,False,False,False,False
48.97,1,2135,1844121600000000000,7,2019,0.254,0.573,False,False,False,False,False,False,False,False,False,False,True,False,False
91.66,0,1526206,1104969600000000000,1,2020,0.243,0.39,False,False,False,False,False,False,False,False,False,True,False,False,False
9.15,0,1643,1349049600000000000,1,2019,0.887,0.084,False,True,False,False,False,False,False,False,False,False,False,False,False
14.43,0,5161,824169600000000000,5,2019,0.099,0.156,False,False,True,False,False,False,False,False,False,False,False,False,False
124.02,0,255,1514419200000000000,12,2019,0.951,0.734,True,False,False,False,False,False,False,False,False,False,False,False,False
38.15,0,2906700,1100736000000000000,11,2019,0.457,0.876,True,False,False,False,False,False,False,False,False,False,False,False,False
47.86,1,69793,2054937600000000000,1,2019,0.808,0.114,False,True,False,False,False,False,False,False,False,False,False,False,False
338.62,1,1766,1798243200000000000,5,2019,0.857,0.212,False,False,False,True,False,False,False,False,False,False,False,False,False
318.22,1,744,1634601600000000000,11,2019,0.409,0.094,False,False,False,True,False,False,False,False,False,False,False,False,False
779.79,1,7297,903484800000000000,2,2019,0.571,0.934,False,False,False,False,False,False,False,True,False,False,False,False,False
125.8,0,19090,2835302400000000000,4,2019,0.894,0.783,False,False,False,False,True,False,False,False,False,False,False,False,False
11.94,1,817312,473385600000000000,3,2019,0.126,0.034,False,False,False,False,False,False,False,False,False,False,False,False,False
314.25,0,198659,2355955200000000000,2,2019,1.0,0.671,False,False,False,True,False,False,False,False,False,False,False,False,False
3.54,1,16163,1035244800000000000,12,2019,0.003,0.85,False,False,False,False,False,False,False,True,False,False,False,False,False
19.26,0,427,2161728000000000000,8,2019,0.94,0.38,False,False,False,False,True,False,False,False,False,False,False,False,False
3.66,1,272134,1751414400000000000,9,2019,0.564,0.118,False,False,False,False,False,False,False,False,True,False,False,False,False
65.75,0,722,897782400000000000,4,2019,0.31,0.386,False,False,False,True,False,False,False,False,False,False,False,False,False
135.12,1,564,752284800000000000,2,2020,0.46,0.864,False,False,False,False,False,False,False,False,True,False,False,False,False
297.47,1,686,1215475200000000000,2,2019,0.586,0.333,False,False,False,True,False,False,False,False,False,False,False,False,False
875.2,1,143,1182643200000000000,8,2019,0.541,0.379,False,False,False,False,False,False,False,False,False,False,False,True,False
2.48,0,6460,1896998400000000000,11,2019,0.551,0.243,False,False,False,False,True,False,False,False,False,False,False,False,False
961.01,0,6460,1902700800000000000,1,2020,0.281,0.162,False,False,False,False,False,False,False,False,False,False,False,True,False
55.51,0,5950,1521936000000000000,9,2019,0.798,0.998,False,False,False,False,False,False,False,False,False,False,False,True,False
383.07,1,673342,2282774400000000000,3,2019,0.104,0.501,False,False,False,False,False,False,False,False,False,False,False,False,False
14.19,0,489,1978473600000000000,5,2019,0.711,0.046,False,False,False,False,False,False,False,False,False,True,False,False,False
51.8,1,2054,1351123200000000000,7,2019,0.782,0.961,False,False,False,False,False,False,True,False,False,False,False,False,False
56.52,1,4081,2582496000000000000,1,2020,0.896,0.188,False,False,False,False,False,False,True,False,False,False,False,False,False
7.61,1,69793,2084054400000000000,12,2019,0.152,0.042,False,False,False,False,False,False,False,False,False,False,True,False,False
11.06,0,3495,990576000000000000,7,2019,0.899,0.575,False,False,False,False,False,False,False,False,False,True,False,False,False
119.29,1,79008,1092614400000000000,4,2019,0.863,0.718,True,False,False,False,False,False,False,False,False,False,False,False,False
10.06,1,47249,1224633600000000000,9,2019,0.946,0.592,False,False,False,False,False,True,False,False,False,False,False,False,False
9.94,1,239,724982400000000000,3,2019,0.441,0.724,False,True,False,False,False,False,False,False,False,False,False,False,False
47.69,0,34153,760147200000000000,10,2019,0.923,0.194,False,True,False,False,False,False,False,False,False,False,False,False,False
31.23,0,139,2055024000000000000,7,2019,0.021,0.361,False,False,False,False,True,False,False,False,False,False,False,False,False
104.91,1,14783,1993334400000000000,1,2019,0.225,0.546,False,False,False,False,False,False,False,False,False,False,True,False,False
57.84,0,77,950659200000000000,2,2020,0.306,0.128,False,True,False,False,False,False,False,False,False,False,False,False,False
5.55,0,2148,2071094400000000000,1,2019,0.768,0.586,False,False,False,False,False,False,False,False,False,False,False,False,True
22.21,0,4074,1378598400000000000,8,2019,0.973,0.037,False,False,False,False,False,False,True,False,False,False,False,False,False
97.41,1,9815,1377302400000000000,2,2019,0.467,0.861,False,False,False,False,False,False,False,False,False,False,False,False,False
8.09,0,4726,1340236800000000000,11,2019,0.383,0.478,False,True,False,False,False,False,False,False,False,False,False,False,False
321.05,1,1939,1662940800000000000,9,2019,0.089,0.775,False,False,False,True,False,False,False,False,False,False,False,False,False
23.01,0,36784,2448144000000000000,2,2019,0.029,0.861,False,False,False,False,False,False,True,False,False,False,False,False,False
6.24,0,338,984182400000000000,10,2019,0.343,0.948,False,False,False,False,False,False,False,False,True,False,False,False,False
1110.64,1,1512,524188800000000000,12,2019,0.184,0.246,False,False,False,False,False,False,False,False,False,False,True,False,False
44.14,0,215,1613606400000000000,1,2020,0.831,0.03,False,False,False,False,False,False,True,False,False,False,False,False,False
991.42,0,1850,1763078400000000000,11,2019,0.069,0.853,False,False,False,False,False,False,False,False,False,False,True,False,False
352.32,0,1847,983404800000000000,12,2019,0.242,0.963,False,False,False,True,False,False,False,False,False,False,False,False,False
276.41,1,21635,552182400000000000,1,2019,0.928,0.375,False,False,False,True,False,False,False,False,False,False,False,False,False
4.42,0,248,1609027200000000000,5,2019,0.1,0.398,False,False,False,False,False,False,False,False,True,False,False,False,False
29.33,0,106,1146355200000000000,11,2019,0.186,0.904,False,False,False,False,False,True,False,False,False,False,False,False,False
1082.07,0,973849,707011200000000000,6,2019,0.067,0.79,False,False,False,False,False,False,False,False,False,False,True,False,False
15.34,1,333497,1629244800000000000,11,2019,0.816,0.242,False,False,False,False,False,False,False,False,False,True,False,False,False
2.44,0,606,683424000000000000,5,2019,0.167,0.83,False,False,False,False,False,True,False,False,False,False,False,False,False
258.82,1,3228,754444800000000000,11,2019,0.114,0.709,False,False,False,True,False,False,False,False,False,False,False,False,False
7.7,0,6581,1766880000000000000,2,2020,0.596,0.883,False,False,False,False,False,False,False,False,True,False,False,False,False
224.78,0,224256,1079222400000000000,11,2019,0.257,0.867,False,False,False,True,False,False,False,False,False,False,False,False,False
98.36,1,477,972950400000000000,2,2019,0.6,0.72,False,False,False,False,False,False,False,False,False,False,True,False,False
1078.8,1,272,555724800000000000,2,2019,0.127,0.993,False,False,False,False,False,False,False,False,False,False,True,False,False
60.14,0,608,823478400000000000,7,2019,0.657,0.514,False,False,False,False,False,False,True,False,False,False,False,False,False
564.34,0,46,1001548800000000000,1,2019,0.564,0.23,False,False,False,False,False,False,False,False,False,False,False,False,False
1080.13,1,4533,1568073600000000000,7,2019,0.916,0.879,False,False,False,False,False,False,False,False,False,False,True,False,False
1160.14,1,7268,984700800000000000,10,2019,0.008,0.976,False,False,False,False,False,False,False,False,False,False,True,False,False
20.88,0,1412,1550275200000000000,1,2020,0.701,0.491,False,False,False,False,False,False,False,False,False,True,False,False,False
43.51,0,71485,1426118400000000000,9,2019,0.64,0.926,False,False,False,False,False,False,False,False,False,False,False,True,False
63.37,0,2607,742089600000000000,6,2019,0.188,0.828,False,True,False,False,False,False,False,False,False,False,False,False,False
242.02,0,811,1508630400000000000,1,2020,0.805,0.639,False,False,False,False,False,True,False,False,False,False,False,False,False
3.19,0,466,2024265600000000000,5,2019,0.594,0.711,False,False,False,False,False,False,True,False,False,False,False,False,False
998.13,0,5216,819072000000000000,9,2019,0.752,0.913,False,False,False,False,False,False,False,False,False,False,True,False,False
885.96,0,18799,603331200000000000,4,2019,0.987,0.965,False,False,False,False,False,False,False,True,False,False,False,False,False
897.11,1,10150,2383516800000000000,2,2019,0.821,0.405,False,False,False,False,False,False,False,False,False,False,True,False,False
11.61,1,28739,609897600000000000,4,2019,0.427,0.711,False,True,False,False,False,False,False,False,False,False,False,False,False
1193.72,0,811,1508716800000000000,1,2020,0.023,0.667,False,False,False,False,False,False,False,False,False,False,True,False,False
